Ticker,Date,StockPrice,BookValuePerShare,PB
WMT,2019-01-01,32.41,,3.585
WMT,2020-01-01,39.045,,4.0975
WMT,2021-01-01,45.035000000000004,,4.32
WMT,2022-01-01,45.32,,4.34
WMT,2023-01-01,50.1825,,4.8575
WMT,2024-01-01,65.495,,5.785
WMT,2025-01-01,99.26666666666667,,8.58
JPM,2010-01-01,27.14,,0.625
JPM,2011-01-01,25.5125,,0.5425
JPM,2012-01-01,29.0425,,0.5625
JPM,2013-01-01,37.855,,0.685
JPM,2014-01-01,44.56,,0.735
JPM,2015-01-01,48.45,,0.74
JPM,2016-01-01,53.58,,0.76
JPM,2017-01-01,76.42,,1.0375
JPM,2018-01-01,86.85,,1.13
JPM,2019-01-01,99.055,,1.1925
JPM,2020-01-01,88.735,,1.0025
JPM,2021-01-01,141.21249999999998,,1.46
JPM,2022-01-01,112.2825,,1.1425
JPM,2023-01-01,140.54,,1.2875
JPM,2024-01-01,208.1325,,1.72
JPM,2025-01-01,272.69666666666666,,2.1166666666666667
ORCL,2010-01-01,19.5325,,3.0925000000000002
ORCL,2011-01-01,25.8975,,3.2675
ORCL,2012-01-01,24.6725,,2.75
ORCL,2013-01-01,28.2175,,2.94
ORCL,2014-01-01,34.887499999999996,,3.29
ORCL,2015-01-01,34.957499999999996,,3.1425
ORCL,2016-01-01,34.4325,,2.975
ORCL,2017-01-01,41.3775,,3.145
ORCL,2018-01-01,43.68,,4.2175
ORCL,2019-01-01,48.105000000000004,,8.0275
ORCL,2020-01-01,50.6475,,13.997499999999999
ORCL,2021-01-01,76.25,,-43.7675
ORCL,2022-01-01,73.095,,-36.9175
ORCL,2023-01-01,104.775,,61.224999999999994
ORCL,2024-01-01,137.1475,,38.417500000000004
ORCL,2025-01-01,193.23000000000002,,27.433333333333334
V,2010-01-01,17.205,,2.3275
V,2011-01-01,19.53,,2.41
V,2012-01-01,30.085,,3.5475000000000003
V,2013-01-01,44.0625,,5.1225000000000005
V,2014-01-01,52.254999999999995,,5.4475
V,2015-01-01,65.28999999999999,,4.97
V,2016-01-01,73.1925,,4.9625
V,2017-01-01,95.185,,6.1375
V,2018-01-01,127.33500000000001,,7.6275
V,2019-01-01,165.5,,9.41
V,2020-01-01,186.665,,10.067499999999999
V,2021-01-01,214.975,,11.15
V,2022-01-01,196.6475,,10.3325
V,2023-01-01,235.04,,11.1725
V,2024-01-01,281.405,,13.21
V,2025-01-01,345.67333333333335,,16.546666666666667
LLY,2010-01-01,24.0675,,2.45
LLY,2011-01-01,27.2175,,2.225
