Ticker,Date,ROE,NetIncome
NEE,2013-01-01,11.1825,
NEE,2014-01-01,11.485,
NEE,2015-01-01,13.8125,
NEE,2016-01-01,11.3275,
NEE,2017-01-01,16.595,
NEE,2018-01-01,23.78,
NEE,2019-01-01,8.629999999999999,
NEE,2020-01-01,8.4225,
NEE,2021-01-01,7.442500000000001,
NEE,2022-01-01,6.6325,
NEE,2023-01-01,14.4725,
NEE,2024-01-01,11.8925,
NEE,2025-01-01,9.5,
APP,2020-01-01,319.5,
APP,2021-01-01,42.585,
APP,2022-01-01,-5.7725,
APP,2023-01-01,6.9725,
APP,2024-01-01,108.1675,
APP,2025-01-01,224.46,
TJX,2010-01-01,45.7825,
TJX,2011-01-01,42.792500000000004,
TJX,2012-01-01,51.08,
TJX,2013-01-01,54.9475,
TJX,2014-01-01,51.760000000000005,
TJX,2015-01-01,52.205,
TJX,2016-01-01,52.585,
TJX,2017-01-01,52.0325,
TJX,2018-01-01,57.5,
TJX,2019-01-01,59.0925,
TJX,2020-01-01,29.744999999999997,
TJX,2021-01-01,28.485,
TJX,2022-01-01,56.120000000000005,
TJX,2023-01-01,62.6925,
TJX,2024-01-01,64.9625,
TJX,2025-01-01,59.95,
AMAT,2010-01-01,6.5,
AMAT,2011-01-01,21.495,
AMAT,2012-01-01,11.8075,
AMAT,2013-01-01,-1.8924999999999998,
AMAT,2014-01-01,11.627500000000001,
AMAT,2015-01-01,16.0425,
AMAT,2016-01-01,19.8975,
AMAT,2017-01-01,36.3625,
AMAT,2018-01-01,39.2125,
AMAT,2019-01-01,40.3525,
AMAT,2020-01-01,35.6375,
AMAT,2021-01-01,43.4875,
AMAT,2022-01-01,55.31,
AMAT,2023-01-01,48.99,
AMAT,2024-01-01,42.542500000000004,
AMAT,2025-01-01,34.91,
SYK,2010-01-01,18.1625,
SYK,2011-01-01,17.1425,
SYK,2012-01-01,17.372500000000002,
SYK,2013-01-01,12.58,
SYK,2014-01-01,7.3475,
SYK,2015-01-01,12.405000000000001,
SYK,2016-01-01,18.427500000000002,
SYK,2017-01-01,15.905000000000001,
SYK,2018-01-01,17.3625,
SYK,2019-01-01,27.5475,
SYK,2020-01-01,13.93,
SYK,2021-01-01,13.61,
SYK,2022-01-01,14.6125,
SYK,2023-01-01,16.255,
SYK,2024-01-01,17.55,
SYK,2025-01-01,14.059999999999999,
PGR,2010-01-01,18.0975,
PGR,2011-01-01,17.5675,
PGR,2012-01-01,14.2675,
PGR,2013-01-01,17.17,
PGR,2014-01-01,18.23,
PGR,2015-01-01,18.002499999999998,
PGR,2016-01-01,14.1025,
PGR,2017-01-01,16.2225,
PGR,2018-01-01,23.3025,
PGR,2019-01-01,26.805,
PGR,2020-01-01,30.4375,
PGR,2021-01-01,27.065,
PGR,2022-01-01,6.5175,
PGR,2023-01-01,13.4525,
PGR,2024-01-01,33.1925,
PGR,2025-01-01,34.845,
ARM,2023-01-01,19.67,
ARM,2024-01-01,9.9925,
ARM,2025-01-01,11.675,
ADBE,2010-01-01,9.82,
ADBE,2011-01-01,16.855,
ADBE,2012-01-01,13.2925,
ADBE,2013-01-01,7.547499999999999,
ADBE,2014-01-01,3.9899999999999998,
ADBE,2015-01-01,6.6825,
ADBE,2016-01-01,13.57,
ADBE,2017-01-01,19.6675,
ADBE,2018-01-01,26.3125,
ADBE,2019-01-01,28.58,
ADBE,2020-01-01,36.845,
ADBE,2021-01-01,41.045,
ADBE,2022-01-01,33.995,
ADBE,2023-01-01,34.3625,
ADBE,2024-01-01,33.95,
ADBE,2025-01-01,49.685,
DHR,2010-01-01,12.2175,
DHR,2011-01-01,14.0675,
DHR,2012-01-01,13.2225,
DHR,2013-01-01,12.785,
DHR,2014-01-01,11.5675,
DHR,2015-01-01,12.5825,
DHR,2016-01-01,12.5725,
DHR,2017-01-01,9.69,
DHR,2018-01-01,9.9275,
DHR,2019-01-01,8.4,
DHR,2020-01-01,10.1425,
DHR,2021-01-01,13.445,
DHR,2022-01-01,14.282499999999999,
DHR,2023-01-01,11.7725,
DHR,2024-01-01,7.8725,
DHR,2025-01-01,7.08,
SPOT,2018-01-01,-6.44,
SPOT,2019-01-01,6.705,
SPOT,2020-01-01,-18.28,
SPOT,2021-01-01,-8.68,
SPOT,2022-01-01,-6.335,
SPOT,2023-01-01,-33.7225,
SPOT,2024-01-01,13.8725,
SPOT,2025-01-01,18.134999999999998,
ETN,2010-01-01,11.5075,
ETN,2011-01-01,15.8575,
ETN,2012-01-01,16.455000000000002,
ETN,2013-01-01,10.782499999999999,
ETN,2014-01-01,10.504999999999999,
ETN,2015-01-01,12.6975,
ETN,2016-01-01,12.3875,
ETN,2017-01-01,15.5825,
ETN,2018-01-01,15.515,
ETN,2019-01-01,13.782499999999999,
ETN,2020-01-01,10.715,
ETN,2021-01-01,12.345,
ETN,2022-01-01,14.17,
ETN,2023-01-01,16.4075,
ETN,2024-01-01,19.225,
ETN,2025-01-01,20.91,
PFE,2010-01-01,9.0625,
PFE,2011-01-01,10.8375,
PFE,2012-01-01,13.2075,
PFE,2013-01-01,27.7975,
PFE,2014-01-01,16.6475,
PFE,2015-01-01,11.9075,
PFE,2016-01-01,10.9725,
PFE,2017-01-01,19.060000000000002,
PFE,2018-01-01,28.972499999999997,
PFE,2019-01-01,22.3025,
PFE,2020-01-01,18.0075,
PFE,2021-01-01,23.315,
PFE,2022-01-01,34.6875,
PFE,2023-01-01,16.42,
PFE,2024-01-01,2.6025000000000005,
PFE,2025-01-01,10.344999999999999,
HON,2010-01-01,19.055,
HON,2011-01-01,21.12,
HON,2012-01-01,20.3175,
HON,2013-01-01,24.2,
HON,2014-01-01,23.4925,
HON,2015-01-01,24.84,
HON,2016-01-01,26.3525,
HON,2017-01-01,20.7225,
HON,2018-01-01,17.195,
HON,2019-01-01,35.53,
HON,2020-01-01,30.0425,
HON,2021-01-01,28.2875,
HON,2022-01-01,27.8425,
HON,2023-01-01,30.805,
HON,2024-01-01,32.8925,
HON,2025-01-01,31.59,
DE,2010-01-01,21.6675,
DE,2011-01-01,37.2325,
DE,2012-01-01,41.78,
DE,2013-01-01,42.7775,
DE,2014-01-01,33.8975,
DE,2015-01-01,27.494999999999997,
DE,2016-01-01,23.0525,
DE,2017-01-01,24.642500000000002,
DE,2018-01-01,19.8975,
DE,2019-01-01,29.259999999999998,
DE,2020-01-01,23.9725,
DE,2021-01-01,33.815,
DE,2022-01-01,34.5,
DE,2023-01-01,44.085,
DE,2024-01-01,38.7225,
DE,2025-01-01,25.85,
GILD,2010-01-01,45.7,
GILD,2011-01-01,44.2225,
GILD,2012-01-01,34.41,
GILD,2013-01-01,29.2025,
GILD,2014-01-01,60.7175,
GILD,2015-01-01,96.1225,
GILD,2016-01-01,92.7675,
GILD,2017-01-01,50.5075,
GILD,2018-01-01,14.4975,
GILD,2019-01-01,22.5275,
GILD,2020-01-01,7.05,
GILD,2021-01-01,24.455,
GILD,2022-01-01,20.125,
GILD,2023-01-01,26.58,
GILD,2024-01-01,2.7075,
GILD,2025-01-01,31.85,
SAN,2010-01-01,11.74,
SAN,2011-01-01,8.7725,
SAN,2012-01-01,3.8,
SAN,2013-01-01,3.875,
SAN,2014-01-01,6.075,
SAN,2015-01-01,6.3975,
SAN,2016-01-01,6.105,
SAN,2017-01-01,6.0675,
SAN,2018-01-01,6.4375,
SAN,2019-01-01,6.1899999999999995,
SAN,2020-01-01,4.745,
SAN,2021-01-01,6.945,
SAN,2022-01-01,9.407499999999999,
SAN,2023-01-01,9.584999999999999,
SAN,2024-01-01,10.665,
SAN,2025-01-01,9.03,
TTE,2010-01-01,18.06,
TTE,2011-01-01,19.64,
TTE,2012-01-01,15.43,
TTE,2013-01-01,11.9125,
TTE,2014-01-01,9.9925,
TTE,2015-01-01,3.325,
TTE,2016-01-01,4.37,
TTE,2017-01-01,7.415,
TTE,2018-01-01,8.717500000000001,
TTE,2019-01-01,9.205,
TTE,2020-01-01,-1.845,
TTE,2021-01-01,6.6825,
TTE,2022-01-01,16.455,
TTE,2023-01-01,18.3975,
TTE,2024-01-01,15.77,
TTE,2025-01-01,11.14,
LOW,2010-01-01,9.58,
LOW,2011-01-01,10.66,
LOW,2012-01-01,11.7025,
LOW,2013-01-01,15.055,
LOW,2014-01-01,20.0575,
LOW,2015-01-01,28.17,
LOW,2016-01-01,33.695,
LOW,2017-01-01,49.7475,
LOW,2018-01-01,64.9375,
LOW,2019-01-01,65.7425,
LOW,2020-01-01,191.73,
LOW,2021-01-01,6481.84,
LOW,2022-01-01,-258.865,
LOW,2023-01-01,-51.394999999999996,
LOW,2024-01-01,-48.8475,
LOW,2025-01-01,-49.75,
COF,2010-01-01,8.115,
COF,2011-01-01,11.8825,
COF,2012-01-01,9.182500000000001,
COF,2013-01-01,9.3675,
COF,2014-01-01,9.8825,
COF,2015-01-01,8.8375,
COF,2016-01-01,7.6850000000000005,
COF,2017-01-01,6.11,
COF,2018-01-01,7.295,
COF,2019-01-01,10.137500000000001,
COF,2020-01-01,2.4375,
COF,2021-01-01,17.3275,
COF,2022-01-01,15.57,
COF,2023-01-01,9.455,
COF,2024-01-01,7.545,
COF,2025-01-01,3.525,
APH,2010-01-01,22.255,
APH,2011-01-01,23.595,
APH,2012-01-01,23.2875,
APH,2013-01-01,23.869999999999997,
APH,2014-01-01,23.42,
APH,2015-01-01,24.555,
APH,2016-01-01,22.7275,
APH,2017-01-01,22.73,
APH,2018-01-01,21.2825,
APH,2019-01-01,28.622500000000002,
APH,2020-01-01,24.79,
APH,2021-01-01,25.855,
APH,2022-01-01,28.1975,
APH,2023-01-01,26.1925,
APH,2024-01-01,25.09,
APH,2025-01-01,28.875,
UNP,2010-01-01,14.155,
UNP,2011-01-01,17.025,
UNP,2012-01-01,19.9125,
UNP,2013-01-01,20.8375,
UNP,2014-01-01,22.765,
UNP,2015-01-01,24.0225,
UNP,2016-01-01,21.235,
UNP,2017-01-01,29.7475,
UNP,2018-01-01,45.235,
UNP,2019-01-01,31.9975,
UNP,2020-01-01,32.61,
UNP,2021-01-01,38.095,
UNP,2022-01-01,53.975,
UNP,2023-01-01,51.85,
UNP,2024-01-01,42.4675,
UNP,2025-01-01,41.489999999999995,
KKR,2010-01-01,3.6466666666666665,
KKR,2011-01-01,0.6475000000000001,
KKR,2012-01-01,0.7875,
KKR,2013-01-01,1.325,
KKR,2014-01-01,1.475,
KKR,2015-01-01,1.0775000000000001,
KKR,2016-01-01,0.235,
KKR,2017-01-01,5.71,
KKR,2018-01-01,5.545,
KKR,2019-01-01,5.78,
KKR,2020-01-01,2.43,
KKR,2021-01-01,11.3725,
KKR,2022-01-01,1.415,
KKR,2023-01-01,3.205,
KKR,2024-01-01,5.9875,
KKR,2025-01-01,3.9450000000000003,
LRCX,2010-01-01,24.0275,
LRCX,2011-01-01,28.189999999999998,
LRCX,2012-01-01,5.2075,
LRCX,2013-01-01,3.79,
LRCX,2014-01-01,13.11,
LRCX,2015-01-01,14.7425,
LRCX,2016-01-01,15.120000000000001,
LRCX,2017-01-01,25.17,
LRCX,2018-01-01,36.6175,
LRCX,2019-01-01,42.6375,
LRCX,2020-01-01,50.69,
LRCX,2021-01-01,71.7325,
LRCX,2022-01-01,74.1925,
LRCX,2023-01-01,52.695,
LRCX,2024-01-01,47.6475,
LRCX,2025-01-01,55.605000000000004,
TD,2010-01-01,11.0975,
TD,2011-01-01,12.27,
TD,2012-01-01,13.2375,
TD,2013-01-01,13.247499999999999,
TD,2014-01-01,13.5,
TD,2015-01-01,12.67,
TD,2016-01-01,11.98,
TD,2017-01-01,13.1025,
TD,2018-01-01,14.1125,
TD,2019-01-01,13.7875,
TD,2020-01-01,12.1225,
TD,2021-01-01,14.5025,
TD,2022-01-01,14.959999999999999,
TD,2023-01-01,12.13,
TD,2024-01-01,8.395,
TD,2025-01-01,10.645,
MU,2010-01-01,15.579999999999998,
MU,2011-01-01,5.4375,
MU,2012-01-01,-9.95,
MU,2013-01-01,2.7925,
MU,2014-01-01,31.650000000000002,
MU,2015-01-01,24.675,
MU,2016-01-01,1.6075,
MU,2017-01-01,23.6175,
MU,2018-01-01,48.3225,
MU,2019-01-01,23.884999999999998,
MU,2020-01-01,6.83,
MU,2021-01-01,12.3625,
MU,2022-01-01,17.97,
MU,2023-01-01,-7.655,
MU,2024-01-01,-0.4175,
MU,2025-01-01,11.565,
UBS,2015-01-01,13.1425,
UBS,2016-01-01,7.405,
UBS,2017-01-01,5.842499999999999,
UBS,2018-01-01,2.4775,
UBS,2019-01-01,9.405000000000001,
UBS,2020-01-01,9.4175,
UBS,2021-01-01,12.4575,
UBS,2022-01-01,13.0075,
UBS,2023-01-01,34.015,
UBS,2024-01-01,11.355,
UBS,2025-01-01,6.495,
ADP,2010-01-01,21.7975,
ADP,2011-01-01,21.3875,
ADP,2012-01-01,22.2825,
ADP,2013-01-01,22.4525,
ADP,2014-01-01,23.345,
ADP,2015-01-01,28.315,
ADP,2016-01-01,35.59,
ADP,2017-01-01,45.6175,
ADP,2018-01-01,45.9325,
ADP,2019-01-01,44.435,
ADP,2020-01-01,44.852500000000006,
ADP,2021-01-01,46.525,
ADP,2022-01-01,75.025,
ADP,2023-01-01,102.1175,
ADP,2024-01-01,85.815,
ADP,2025-01-01,74.69999999999999,
KLAC,2010-01-01,12.5275,
KLAC,2011-01-01,28.7175,
KLAC,2012-01-01,23.155,
KLAC,2013-01-01,16.56,
KLAC,2014-01-01,15.715,
KLAC,2015-01-01,67.255,
KLAC,2016-01-01,138.8,
KLAC,2017-01-01,81.95,
KLAC,2018-01-01,66.2725,
KLAC,2019-01-01,52.3775,
KLAC,2020-01-01,46.7075,
KLAC,2021-01-01,74.3925,
KLAC,2022-01-01,108.2875,
KLAC,2023-01-01,123.7675,
KLAC,2024-01-01,90.06,
KLAC,2025-01-01,101.8,
BUD,2010-01-01,25.7775,
BUD,2011-01-01,45.605000000000004,
BUD,2012-01-01,49.129999999999995,
BUD,2013-01-01,38.4,
BUD,2014-01-01,37.925,
BUD,2015-01-01,48.292500000000004,
BUD,2016-01-01,15.412500000000001,
BUD,2017-01-01,12.59,
BUD,2018-01-01,17.235,
BUD,2019-01-01,21.655,
BUD,2020-01-01,3.325,
BUD,2021-01-01,12.6325,
BUD,2022-01-01,11.7475,
BUD,2023-01-01,14.692499999999999,
BUD,2024-01-01,12.7775,
BUD,2025-01-01,15.54,
MELI,2010-01-01,36.644999999999996,
MELI,2011-01-01,37.345,
MELI,2012-01-01,39.035,
MELI,2013-01-01,35.5225,
MELI,2014-01-01,26.2575,
MELI,2015-01-01,24.6575,
MELI,2016-01-01,36.1625,
MELI,2017-01-01,25.7575,
MELI,2018-01-01,-21.7325,
MELI,2019-01-01,-4.44,
MELI,2020-01-01,-4.92,
MELI,2021-01-01,9.052499999999998,
MELI,2022-01-01,21.9425,
MELI,2023-01-01,39.4075,
MELI,2024-01-01,43.3325,
MELI,2025-01-01,45.760000000000005,
IBN,2010-01-01,10.57,
IBN,2011-01-01,12.265,
IBN,2012-01-01,31.6925,
IBN,2013-01-01,51.527499999999996,
IBN,2014-01-01,51.98666666666666,
IBN,2015-01-01,44.8625,
IBN,2016-01-01,36.655,
IBN,2017-01-01,33.035,
IBN,2018-01-01,15.36,
IBN,2019-01-01,9.21,
IBN,2020-01-01,8.290000000000001,
IBN,2021-01-01,12.3375,
IBN,2022-01-01,15.1475,
IBN,2023-01-01,17.2975,
IBN,2024-01-01,17.31,
IBN,2025-01-01,16.545,
CMCSA,2010-01-01,8.4525,
CMCSA,2011-01-01,8.51,
CMCSA,2012-01-01,11.120000000000001,
CMCSA,2013-01-01,13.385,
CMCSA,2014-01-01,15.23,
CMCSA,2015-01-01,15.885000000000002,
