Ticker,Date,StockPrice,NetEPS,PE
ADP,2016-01-01,77.175,,22.575000000000003
ADP,2017-01-01,91.4075,,23.6025
ADP,2018-01-01,114.59,,29.3575
ADP,2019-01-01,145.1225,,28.195
ADP,2020-01-01,135.95499999999998,,23.59
ADP,2021-01-01,192.445,,31.205
ADP,2022-01-01,212.235,,29.7575
ADP,2023-01-01,219.945,,26.64
ADP,2024-01-01,259.8325,,28.0275
ADP,2025-01-01,305.3,,36.69
BTI,2010-01-01,16.35,0.0,0.0
BTI,2011-01-01,20.025,0.0,0.0
BTI,2012-01-01,23.21,0.0,0.0
BTI,2013-01-01,25.0,0.0,0.0
BTI,2014-01-01,28.165,0.0,0.0
BTI,2015-01-01,28.325000000000003,0.0,0.0
BTI,2016-01-01,30.45,0.0,0.0
BTI,2017-01-01,37.885000000000005,0.0,0.0
BTI,2018-01-01,24.21,0.0,0.0
BTI,2019-01-01,24.564999999999998,0.0,0.0
BTI,2020-01-01,25.855,0.0,0.0
BTI,2021-01-01,28.04,0.0,0.0
BTI,2022-01-01,32.665,0.0,0.0
BTI,2023-01-01,26.695,0.0,0.0
BTI,2024-01-01,31.91,0.0,0.0
BTI,2025-01-01,56.69,,0.0
KLAC,2010-01-01,19.1225,,17.869999999999997
KLAC,2011-01-01,25.7775,,5.855
KLAC,2012-01-01,30.3425,,7.0925
KLAC,2013-01-01,36.755,,11.0925
KLAC,2014-01-01,49.825,,16.1225
KLAC,2015-01-01,48.525,,19.322499999999998
KLAC,2016-01-01,63.0775,,13.8275
KLAC,2017-01-01,87.455,,16.065
KLAC,2018-01-01,90.7425,,16.1075
KLAC,2019-01-01,133.3975,,17.884999999999998
KLAC,2020-01-01,187.0425,,23.8375
KLAC,2021-01-01,340.0025,,22.2675
KLAC,2022-01-01,330.8625,,14.907499999999999
KLAC,2023-01-01,472.7525,,21.2625
KLAC,2024-01-01,725.8775,,34.472500000000004
KLAC,2025-01-01,795.115,,28.9
BUD,2010-01-01,41.04666666666666,,15.323333333333332
BUD,2011-01-01,43.57,,13.865
BUD,2012-01-01,58.730000000000004,,13.7
BUD,2013-01-01,71.52,,8.84
BUD,2014-01-01,91.385,,10.285
BUD,2015-01-01,98.175,,16.18
BUD,2016-01-01,104.8425,,65.28999999999999
BUD,2017-01-01,98.6175,,45.175
BUD,2018-01-01,81.87,,24.285
BUD,2019-01-01,80.6375,,19.634999999999998
BUD,2020-01-01,51.0725,,48.352500000000006
BUD,2021-01-01,59.6975,,24.47
BUD,2022-01-01,52.3525,,22.6375
