Ticker,Year,MarketCap
TM,2016,112521980992.68518
TM,2017,120362318564.0927
TM,2018,137950009183.2786
TM,2019,141512932833.695
TM,2020,149157277799.91495
TM,2021,196796116700.34265
TM,2022,191863217132.96927
TM,2023,196435148709.82382
IBM,2010,69134877239.8637
IBM,2011,91214659930.3913
IBM,2012,106627906763.36087
IBM,2013,107169913084.64714
IBM,2014,102844063662.284
IBM,2015,90096896321.52821
IBM,2016,90637371427.90405
IBM,2017,98299192539.39917
IBM,2018,93403546989.81828
IBM,2019,93316646094.94589
IBM,2020,88843811779.11252
IBM,2021,101484134575.04807
IBM,2022,110410581182.08464
IBM,2023,120776465605.75108
CRM,2010,22945754811.680504
CRM,2011,31210837194.56385
CRM,2012,33858952391.082767
CRM,2013,43541158233.58203
CRM,2014,54259005031.52514
CRM,2015,66959858644.213
CRM,2016,70654480382.40463
CRM,2017,85538529392.68317
CRM,2018,125294516754.27197
CRM,2019,146992164093.2598
CRM,2020,190359191613.60068
CRM,2021,234427065976.58188
CRM,2022,167426125760.8725
CRM,2023,193325387847.41214
ABT,2010,30571185620.205635
ABT,2011,31917770027.2846
ABT,2012,40611083724.72394
ABT,2013,49134678569.87444
ABT,2014,57591616971.1476
ABT,2015,66480305400.30915
ABT,2016,59520346968.555244
ABT,2017,73156732513.6481
ABT,2018,98671845421.8354
ABT,2019,125871550475.39453
ABT,2020,152676884941.0029
ABT,2021,195936587762.9096
ABT,2022,183050280582.39703
ABT,2023,173919189589.53976
AZN,2010,41614075019.46949
AZN,2011,44031964654.07235
AZN,2012,44871759993.758545
AZN,2013,52869817986.84377
AZN,2014,76789782730.18246
AZN,2015,76334390404.37729
AZN,2016,71301064838.11394
AZN,2017,79064017195.31786
AZN,2018,95688738574.1993
AZN,2019,113568091680.66115
AZN,2020,143362482068.17023
AZN,2021,158019612282.90378
AZN,2022,183201190528.1073
AZN,2023,203783489043.98438
MS,2010,30883317359.340473
MS,2011,25016369169.168156
MS,2012,19278009306.72987
MS,2013,30197627364.863373
MS,2014,38742062899.53846
MS,2015,43085913398.123344
MS,2016,36641622836.68157
MS,2017,57788285605.753296
MS,2018,63828325774.12701
MS,2019,58015946986.092674
MS,2020,66604543849.902145
MS,2021,125441791657.09258
MS,2022,124073172804.57268
MS,2023,127769475451.95105
NVS,2010,52366532664.95038
NVS,2011,59031156738.9288
NVS,2012,61794336548.500336
NVS,2013,81606277468.0368
NVS,2014,101695333020.15572
NVS,2015,115568871560.69109
NVS,2016,94575191862.90118
NVS,2017,102904592540.2281
NVS,2018,109552514555.56444
NVS,2019,131598300301.20476
NVS,2020,138064831272.15677
NVS,2021,144433161654.50568
NVS,2022,145961901666.30786
NVS,2023,172051741305.11844
UNH,2010,23764797761.61168
UNH,2011,33919315870.81069
UNH,2012,40728478787.588554
UNH,2013,49076144852.305305
UNH,2014,63711586527.61154
UNH,2015,90400895935.06139
UNH,2016,106892267118.60599
UNH,2017,149366128922.7121
