Ticker,Date,DebtToEquity
RIO,2022-01-01,0.815
RIO,2023-01-01,0.835
RIO,2024-01-01,0.775
RIO,2025-01-01,0.95
ENB,2010-01-01,2.5475
ENB,2011-01-01,2.5275
ENB,2012-01-01,2.25
ENB,2013-01-01,2.0375
ENB,2014-01-01,2.3
ENB,2015-01-01,2.8175
ENB,2016-01-01,2.9625
ENB,2017-01-01,1.4725
ENB,2018-01-01,1.38
ENB,2019-01-01,1.2875
ENB,2020-01-01,1.395
ENB,2021-01-01,1.5325
ENB,2022-01-01,1.7125
ENB,2023-01-01,1.7125
ENB,2024-01-01,1.9675
ENB,2025-01-01,2.09
CME,2010-01-01,0.76
CME,2011-01-01,0.78
CME,2012-01-01,0.8075
CME,2013-01-01,1.23
CME,2014-01-01,1.83
CME,2015-01-01,2.55
CME,2016-01-01,2.2225
CME,2017-01-01,2.645
CME,2018-01-01,2.0149999999999997
CME,2019-01-01,1.81
CME,2020-01-01,3.7375000000000003
CME,2021-01-01,5.6875
CME,2022-01-01,5.6325
CME,2023-01-01,4.2025
CME,2024-01-01,3.8475
CME,2025-01-01,5.165
LMT,2010-01-01,8.4575
LMT,2011-01-01,16.6775
LMT,2012-01-01,261.27500000000003
LMT,2013-01-01,55.037499999999994
LMT,2014-01-01,7.825
LMT,2015-01-01,12.6625
LMT,2016-01-01,19.61
LMT,2017-01-01,6.335
LMT,2018-01-01,-63.3875
LMT,2019-01-01,14.735
LMT,2020-01-01,10.45
LMT,2021-01-01,5.53
LMT,2022-01-01,3.935
LMT,2023-01-01,5.405
LMT,2024-01-01,7.42
LMT,2025-01-01,8.76
PLD,2010-01-01,0.985
PLD,2011-01-01,0.9550000000000001
PLD,2012-01-01,0.9975
PLD,2013-01-01,0.7424999999999999
PLD,2014-01-01,0.6975
PLD,2015-01-01,0.69
PLD,2016-01-01,0.6799999999999999
PLD,2017-01-01,0.6399999999999999
PLD,2018-01-01,0.5375
PLD,2019-01-01,0.5125
PLD,2020-01-01,0.5175000000000001
PLD,2021-01-01,0.545
PLD,2022-01-01,0.5375000000000001
PLD,2023-01-01,0.58
PLD,2024-01-01,0.63
PLD,2025-01-01,0.6799999999999999
SMFG,2010-01-01,18.9475
SMFG,2011-01-01,18.372500000000002
SMFG,2012-01-01,17.8575
SMFG,2013-01-01,15.805
SMFG,2014-01-01,16.075
SMFG,2015-01-01,15.704999999999998
SMFG,2016-01-01,16.61
SMFG,2017-01-01,16.7
SMFG,2018-01-01,16.08
SMFG,2019-01-01,17.23
SMFG,2020-01-01,19.64
SMFG,2021-01-01,18.98
SMFG,2022-01-01,20.67
SMFG,2023-01-01,20.2
SMFG,2024-01-01,19.175
MMC,2010-01-01,1.4475
MMC,2011-01-01,1.3675000000000002
MMC,2012-01-01,1.415
MMC,2013-01-01,1.2825
MMC,2014-01-01,1.24
MMC,2015-01-01,1.6325
MMC,2016-01-01,1.75
MMC,2017-01-01,1.7825
MMC,2018-01-01,1.7575
MMC,2019-01-01,2.89
MMC,2020-01-01,2.835
MMC,2021-01-01,2.2424999999999997
MMC,2022-01-01,2.3625
MMC,2023-01-01,2.7325
MMC,2024-01-01,2.7775
MMC,2025-01-01,2.835
BN,2010-01-01,1.7
BN,2011-01-01,1.565
BN,2012-01-01,1.4475
BN,2013-01-01,1.4125
BN,2014-01-01,1.43
BN,2015-01-01,1.4575
BN,2016-01-01,1.3975
BN,2017-01-01,1.3925
BN,2018-01-01,1.555
BN,2019-01-01,1.7349999999999999
BN,2020-01-01,1.83
