Ticker,Year,Volume
ASML,2021,863806.746031746
ASML,2022,1173954.5816733069
ASML,2023,1004086.4
TMUS,2010,3283834.9206349207
TMUS,2011,3042916.0714285714
TMUS,2012,4011598.6
TMUS,2013,4897785.912698412
TMUS,2014,4861348.412698412
TMUS,2015,4308145.634920635
TMUS,2016,3863982.1428571427
TMUS,2017,4302053.386454184
TMUS,2018,3831908.764940239
TMUS,2019,3615698.8095238097
TMUS,2020,5383100.0
TMUS,2021,4631524.206349206
TMUS,2022,5037256.57370518
TMUS,2023,5222516.8
BABA,2014,28848955.555555556
BABA,2015,17164564.285714287
BABA,2016,14803404.761904761
BABA,2017,15509617.928286852
BABA,2018,20414276.89243028
BABA,2019,15870658.73015873
BABA,2020,18388801.18577075
BABA,2021,20750578.968253966
BABA,2022,26824210.75697211
BABA,2023,19553051.2
PM,2010,7844952.777777778
PM,2011,7253798.015873016
PM,2012,5324348.0
PM,2013,5015421.428571428
PM,2014,4770646.428571428
PM,2015,4541025.396825396
PM,2016,4637152.777777778
PM,2017,4149550.597609562
PM,2018,6255315.537848606
PM,2019,5643896.428571428
PM,2020,5409657.312252965
PM,2021,4478619.841269841
PM,2022,5429492.03187251
PM,2023,4326132.4
WFC,2010,41091166.666666664
WFC,2011,37706692.46031746
WFC,2012,26877017.2
WFC,2013,19863402.38095238
WFC,2014,15501909.523809524
WFC,2015,15913688.888888888
WFC,2016,22959404.365079366
WFC,2017,18363690.836653385
WFC,2018,21552741.035856575
WFC,2019,20266708.333333332
WFC,2020,40981150.98814229
WFC,2021,28894077.38095238
WFC,2022,23218109.56175299
WFC,2023,19229064.8
TM,2010,1107836.111111111
TM,2011,695596.8253968254
TM,2012,416945.6
TM,2013,510105.95238095237
TM,2014,385180.95238095237
TM,2015,306495.6349206349
TM,2016,387033.3333333333
TM,2017,211278.48605577688
TM,2018,201808.36653386455
TM,2019,139084.52380952382
TM,2020,213115.41501976285
TM,2021,281982.9365079365
TM,2022,259537.4501992032
TM,2023,282280.4
IBM,2010,6718266.638888889
IBM,2011,6002820.123015873
IBM,2012,4271732.196
IBM,2013,4441181.900793651
IBM,2014,4730140.682539683
IBM,2015,4589045.238095238
IBM,2016,4228022.083333333
IBM,2017,4463904.996015936
IBM,2018,5703245.41434263
IBM,2019,3930309.273809524
IBM,2020,5806158.3083003955
IBM,2021,5565397.111111111
IBM,2022,5007348.207171314
IBM,2023,4456105.2
CRM,2010,10551955.555555556
CRM,2011,11432300.0
CRM,2012,9383953.6
