Ticker,StockPrice_x,NetEPS,PE,Year,StockPrice_y,BookValuePerShare,PB,DividendYield,MarketCap,ROE,NetIncome,ROA,TotalAssets,Volume,DebtToEquity
ACN,201.6575,,25.6925,2020,201.6575,,7.4725,6.864986762660081e-05,122694716135.97958,31.58,,15.0825,,2319147.8260869565,1.1075
ACN,287.915,,31.7325,2021,287.915,,9.1175,5.1842710065102686e-05,180772876177.73132,30.8125,,14.575,,1991301.984126984,1.12
ACN,285.775,,27.3125,2022,285.775,,8.0875,5.6984564773508825e-05,177702932993.0262,31.445,,15.035,,2337327.091633466,1.065
ACN,296.3375,,27.1775,2023,296.3375,,7.13,6.48018177989166e-05,180422115341.8012,28.275,,14.3475,,2220115.2,0.9225
ACN,333.5025,,29.4275,2024,333.5025,,7.220000000000001,,,25.7525,,13.6175,,,0.91
ACN,300.67333333333335,,24.28,2025,300.67333333333335,,6.056666666666668,,,26.155,,13.335,,,0.995
ADBE,30.5575,,36.24,2010,30.5575,,3.0625,0.0,13240090012.200674,9.82,,6.5525,,9162337.301587302,0.555
ADBE,30.4475,,17.2525,2011,30.4475,,2.7375,0.0,12778974547.004702,16.855,,10.895,,6297807.53968254,0.5425
ADBE,32.455,,20.4375,2012,32.455,,2.55,0.0,13858647933.540344,13.2925,,8.695,,4109069.6,0.52
ADBE,46.1875,,54.3975,2013,46.1875,,3.39,0.0,19854007639.439903,7.547499999999999,,5.0275,,3596862.301587302,0.5025
ADBE,69.6875,,136.75,2014,69.6875,,5.19,0.0,28613586189.27002,3.99,,2.585,,3360841.26984127,0.5650000000000001
ADBE,82.05499999999999,,102.685,2015,82.05499999999999,,6.0475,0.0,34346548165.63924,6.6825,,4.055,,2796843.6507936507,0.68
ADBE,97.435,,51.8175,2016,97.435,,6.675,0.0,41285281762.441,13.57,,8.0475,,2825707.1428571427,0.695
ADBE,149.2075,,49.1075,2017,149.2075,,9.1475,0.0,61083160814.01931,19.6675,,11.5025,,2469617.131474104,0.7124999999999999
ADBE,243.2025,,53.915,2018,243.2025,,13.3975,0.0,99702886286.82292,26.3125,,15.0575,,3289317.529880478,0.8049999999999999
ADBE,281.86,,50.3175,2019,281.86,,13.48,0.0,118488739459.48282,28.58,,14.7625,,2661459.523809524,0.9725
ADBE,430.895,,53.0225,2020,430.895,,17.825,0.0,176455010862.97922,36.845,,18.7425,,3072909.881422925,0.94
ADBE,574.45,,51.37,2021,574.45,,19.2625,0.0,237812311102.2949,41.045,,22.1275,,2373097.222222222,0.835
ADBE,400.6325,,39.5225,2022,400.6325,,13.3825,0.0,168034745957.25983,33.995,,18.23,,3559127.490039841,0.89
ADBE,478.0225,,43.47,2023,478.0225,,14.0775,0.0,197506145544.36035,34.3625,,18.3175,,3112659.6,0.85
ADBE,523.845,,45.91,2024,523.845,,15.8925,,,33.95,,17.682499999999997,,,1.0175
ADBE,397.3066666666667,,25.69666666666667,2025,397.3066666666667,,14.223333333333334,,,49.685,,22.880000000000003,,,1.375
ADI,21.1825,,12.7275,2010,21.1825,,2.12,0.0001576294269307,10782305613.646551,18.935,,14.15,,4449536.111111111,0.35
ADI,27.1275,,9.6425,2011,27.1275,,2.255,0.0001453514719065,13242136767.4744,25.81,,18.6575,,3655887.698412698,0.4024999999999999
ADI,29.1075,,12.8225,2012,29.1075,,2.1825,0.0001659304065584,14434636306.634584,18.16,,13.125,,2373788.8,0.3625
ADI,35.78,,17.055,2013,35.78,,2.43,0.0001502075614763,17813720150.99171,15.1025,,11.3225,,2068996.031746032,0.325
ADI,39.285,,18.0575,2014,39.285,,2.5225,0.0001407948326672,20226943773.406258,14.43,,10.3575,,2193075.396825397,0.475
ADI,47.2225,,21.8525,2015,47.2225,,2.965,0.0001289903838575,24127662844.751637,13.925,,9.5375,,2520609.9206349207,0.41
ADI,49.7975,,22.1525,2016,49.7975,,3.065,0.000130519316601,25083341595.4034,14.26,,9.5825,,2428590.873015873,0.5375000000000001
ADI,68.8875,,29.22,2017,68.8875,,2.8725,0.0001009187188638,34873981825.518845,12.295,,6.375,,2944818.725099602,1.2
ADI,78.5425,,26.55,2018,78.5425,,2.7075,9.078487134951876e-05,40028581701.22416,12.2075,,6.05,,2895688.844621514,0.92
ADI,98.0725,,24.48,2019,98.0725,,3.09,8.959720429645569e-05,48310778795.44068,13.005,,6.9875,,2491869.4444444445,0.85
