Ticker,Year,PE,PB,ROE,ROA,DebtToEquity,DividendYield,MarketCap,Volume,Value_Score,Quality_Score,Risk_Score,Total_Score,Rank
TSM,2016,12.3075,2.945,24.58,17.6625,0.3974999999999999,0.000184187,109924825991.19496,7093236.904761905,0,0.7,0.6,0.39999999999999997,8
RTX,2016,6.8025,1.4449999999999998,22.2175,7.522500000000001,1.9725,0.000128264,68799815104.75397,6907902.646825396,0.7,1,0.4,0.76,1
CVS,2016,15.0375,2.07,14.0625,5.5600000000000005,1.6075,9.399680633148255e-05,89145954180,5832835.714285715,0.3,0.6,0,0.36,10
NVO,2016,18.325,2.805,86.5175,41.6475,1.1375,0.000129548,68030851209.23268,4963715.873015873,0.5,1,0,0.6000000000000001,2
UNP,2016,14.765,3.0925,21.235,7.885,1.7575,0.000122378,43037419196,4676495.238095238,0.19999999999999996,0.4,0,0.24000000000000002,13
DHR,2016,13.19,1.555,12.5725,6.395,0.94,0.001463095,37840506725.84625,3969327.337301587,0,0.30000000000000004,0,0.12000000000000002,15
EMR,2016,16.19,3.575,22.3275,8.08,1.6725,0.0001877,23297035818.481445,3912664.285714286,0.1,0.6000000000000001,0.19999999999999996,0.32,11
HON,2016,15.3225,3.8175,26.3525,9.7825,1.745,0.000105019,56372394760.46181,3507332.1507936507,0.2,0.9,0.4,0.52,4
AAPL,2017,15.71,5.422499999999999,36.0375,13.9825,1.7025,6.856453526835682e-05,520717700075.6076,108538270.91633466,0,0.4,0,0.16000000000000003,14
WMT,2017,16.2725,2.5775,16.255000000000003,6.3825,1.5725,0.000115952,183493319944.4405,26710743.824701197,0,0.2,0.19999999999999996,0.12000000000000001,16
INTC,2017,13.5725,2.1825,17.7275,10.1,0.7725,0.000133463,137232094304.55904,23903249.40239044,0,0.4,0,0.16000000000000003,14
PFE,2017,14.3075,2.23,19.06,6.835,1.74,0.000218812,128837921797.96338,20732164.05179283,0.2,0.7,0.1,0.38,11
CMCSA,2017,13.64,2.515,22.2525,7.0575,2.11,6.009393661785733e-05,115891752164.34756,20357491.633466136,0.4,1,0.4,0.6400000000000001,2
CSCO,2017,13.105,1.9475,15.2075,7.775,0.965,0.000179973,102614771274.0955,20208953.78486056,0,0.30000000000000004,0,0.12000000000000002,15
ORCL,2017,18.5375,3.145,18.445,7.4575,1.4475,7.179793145505515e-05,115427417656.17906,13626900.398406375,0.1,0.2,0,0.12000000000000001,16
AMAT,2017,15.45,5.01,36.3625,17.505,1.1175,3.926799405043181e-05,32631430151.20973,10091291.633466136,0.4,1,0,0.56,4
GILD,2017,8.3225,3.1575,50.5075,17.6575,1.84,0.000155575,66464012219.65208,9125664.143426295,0.6000000000000001,0.4,0.19999999999999996,0.44000000000000006,9
DIS,2017,16.83,3.375,20.39,10.27,1.04,6.525294333334394e-05,180847380187.82996,7416448.207171314,0.3,1,0,0.52,6
PG,2017,14.6375,3.3425,24.735,11.325,1.215,0.000153025,168569249852.70407,7301870.517928286,0.3,1,0,0.52,6
CVS,2017,11.675,1.7525,15.7075,5.915,1.6575,0.000131941,76064990071.75514,7029502.390438248,0.7,0.7,0,0.5599999999999999,5
NEE,2017,12.735,2.0025,16.595,4.76,2.4425,0.000132613,59545648709.33743,6756489.243027888,0.3,1,0.8,0.68,1
NTES,2017,18.8975,1.3825,30.16,20.47,0.49,5.641386002811776e-05,31689717078.33933,6511482.071713148,0,0.8,0,0.32000000000000006,12
TSM,2017,13.8575,2.5475000000000003,25.0825,18.2675,0.3575,0.000153979,151669116748.4103,5732108.765,0.3,0.8,0.8,0.6000000000000001,3
